F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F687,F760,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
4.983706e-01,689,2.326447e+00,744,4.876479e-01,1.594351e+00,1.364247e-01,5.077698e-01,1.486912e+00
7.085198e-01,689,2.008064e+00,742,6.931755e-01,1.312552e+00,1.329214e-01,4.577770e-01,1.818184e+00
8.441356e-01,691,1.986729e+00,742,8.034479e-01,1.276471e+00,1.384638e-01,3.752497e-01,1.148347e+00
2.208563e-01,689,2.989627e-01,741,2.135903e-01,1.845315e-01,2.385329e-02,7.329717e-02,1.706282e-01
NaN,NaN,1.467650e-01,742,4.485633e-02,9.170785e-02,9.476522e-03,2.981479e-02,7.457888e-02
1.149810e-02,690,2.396397e-02,741,1.105143e-02,1.453770e-02,1.700692e-03,6.999458e-03,1.285523e-02
2.411199e-01,689,9.994316e-01,745,2.351615e-01,7.173705e-01,6.199066e-02,2.445133e-01,8.705440e-01
3.589981e-01,689,1.215217e+00,743,3.512509e-01,8.095462e-01,7.747575e-02,2.584439e-01,8.157757e-01
4.629333e-01,690,1.361029e+00,742,4.493838e-01,8.763602e-01,8.930586e-02,2.751817e-01,9.078661e-01
4.915975e-01,689,1.672775e+00,743,4.843135e-01,1.117279e+00,1.050001e-01,2.792698e-01,9.652657e-01
NaN,NaN,6.015296e-02,741,2.295116e-02,3.592542e-02,4.119630e-03,1.260827e-02,2.006426e-02
NaN,NaN,2.791494e+00,743,5.797193e-01,1.835021e+00,1.672290e-01,5.575523e-01,1.498511e+00
NaN,NaN,7.990433e-01,741,2.926688e-01,5.001617e-01,5.463655e-02,2.025238e-01,6.902093e-01
1.014160e+00,689,4.121050e+00,744,1.000411e+00,2.904294e+00,2.511319e-01,7.110567e-01,2.309608e+00
4.557945e-01,691,1.046586e+00,742,4.339651e-01,6.654786e-01,7.321811e-02,2.183990e-01,8.171815e-01
2.967445e-02,687,2.257396e-02,740,2.967445e-02,1.355770e-02,2.155076e-03,7.316424e-03,8.413280e-03
NaN,NaN,1.141377e+00,741,5.107334e-01,6.991823e-01,8.129672e-02,2.536507e-01,5.553693e-01
2.127702e-01,690,1.289812e+00,745,2.063470e-01,9.149905e-01,7.421964e-02,2.560673e-01,6.755054e-01
9.525219e-01,689,3.214482e+00,743,9.390634e-01,2.163036e+00,2.030435e-01,6.036711e-01,2.009396e+00
1.821952e-01,689,5.244373e-01,743,1.793290e-01,3.422545e-01,3.437787e-02,1.050622e-01,3.167474e-01
NaN,NaN,7.625151e-01,741,3.324478e-01,4.669895e-01,5.392738e-02,2.309095e-01,5.826981e-01
3.447025e-01,689,1.161423e+00,743,3.357035e-01,7.527060e-01,7.257345e-02,3.197278e-01,8.093243e-01
3.141414e-01,691,5.036985e-01,741,2.943584e-01,3.099532e-01,3.835191e-02,1.577172e-01,3.462576e-01
2.491538e-01,691,8.644577e-01,743,2.395075e-01,5.765565e-01,5.591511e-02,1.878432e-01,7.777276e-01
NaN,NaN,3.353620e-01,742,8.952821e-02,2.106878e-01,2.157961e-02,8.873151e-02,2.724414e-01
3.537382e-01,689,1.341709e+00,743,3.461021e-01,8.994793e-01,8.342973e-02,2.778955e-01,8.167824e-01
1.410468e-01,689,4.567878e-01,742,1.372101e-01,2.889371e-01,2.896717e-02,1.145806e-01,2.701109e-01
1.721059e-01,690,4.818521e-01,742,1.659448e-01,3.119053e-01,3.226899e-02,9.809556e-02,3.802460e-01
4.477929e-01,689,1.330556e+00,742,4.362915e-01,8.245513e-01,8.598800e-02,2.917614e-01,5.855429e-01
3.694670e-01,689,1.135948e+00,743,3.637583e-01,7.476484e-01,7.258283e-02,2.682127e-01,5.848688e-01
