simulation_number,year,DoY,aPAR,aPARbyCab,aPARbyCab(energyunits),Photosynthesis,Electron_transport,NPQ_energy,LST
#,,,umol m-2 s-1,umol m-2 s-1,W m-2,umol m-2 s-1,umol m-2 s-1,W m-2,K
1,0,0,1.116208e+03,7.772457e+07,1.027979e+02,4.113877e+01,3.374619e+02,3.442959e+01,2.940424e+02
2,0,0,1.495775e+03,8.253825e+07,1.257794e+02,7.765124e+01,6.764920e+02,4.208728e+01,2.889207e+02
3,0,0,1.386448e+03,5.407569e+07,8.045150e+01,9.618062e+01,9.529179e+02,2.640335e+01,3.018247e+02
4,0,0,4.423264e+02,1.013625e+07,1.179619e+01,5.066355e+01,4.469471e+02,3.951208e+00,2.910747e+02
5,0,0,7.568890e+01,3.642720e+06,5.156289e+00,3.852687e+01,3.219564e+02,1.727093e+00,2.912799e+02
6,0,0,1.655457e+01,9.482010e+05,8.950769e-01,3.777151e+00,3.539724e+01,2.966040e-01,3.035138e+02
7,0,0,6.237527e+02,3.847633e+07,6.018387e+01,1.400163e+02,1.444599e+03,2.015899e+01,2.840904e+02
8,0,0,6.497621e+02,5.227775e+07,5.651078e+01,1.563224e+00,1.158497e+01,1.887023e+01,2.967986e+02
9,0,0,8.142100e+02,4.180189e+07,6.276110e+01,3.443320e+01,3.105289e+02,2.102257e+01,2.937246e+02
10,0,0,7.149232e+02,4.228667e+07,6.672871e+01,1.445309e+01,1.091547e+02,2.235162e+01,2.917124e+02
11,0,0,2.426555e+01,1.555712e+06,1.388674e+00,1.060292e+02,1.202780e+03,4.649747e-01,2.963038e+02
12,0,0,1.274088e+03,8.335243e+07,1.043043e+02,8.443024e+01,7.696733e+02,3.457696e+01,2.986928e+02
13,0,0,9.273682e+02,3.495539e+07,4.941389e+01,1.634746e+01,1.251398e+02,1.564740e+01,3.097365e+02
14,0,0,1.618424e+03,1.049909e+08,1.640257e+02,1.557021e+02,1.399459e+03,5.265775e+01,3.058380e+02
15,0,0,9.777449e+02,4.188758e+07,5.830957e+01,1.357157e+01,1.359800e+02,1.856977e+01,3.079945e+02
16,0,0,1.838789e+02,1.099099e+06,5.822879e-01,1.320963e+02,1.345996e+03,1.949713e-01,2.944116e+02
17,0,0,8.818630e+02,3.327233e+07,3.898807e+01,1.915736e+01,1.530055e+02,1.275388e+01,3.029666e+02
18,0,0,4.325392e+02,3.348906e+07,4.669858e+01,5.230738e+01,4.633945e+02,1.564217e+01,2.930964e+02
19,0,0,1.591753e+03,8.649118e+07,1.415694e+02,6.701186e+01,5.774876e+02,4.604801e+01,3.031845e+02
20,0,0,2.552425e+02,1.622500e+07,2.200249e+01,6.191459e+01,4.924264e+02,7.317053e+00,3.000750e+02
21,0,0,7.895340e+02,3.351154e+07,4.109882e+01,1.741849e+01,1.349836e+02,1.334380e+01,3.039800e+02
22,0,0,6.607211e+02,5.063223e+07,5.672560e+01,4.144915e+01,3.449885e+02,1.860345e+01,3.016308e+02
23,0,0,6.699492e+02,2.332315e+07,2.403733e+01,2.215192e+01,1.812204e+02,8.000879e+00,2.968765e+02
24,0,0,7.631722e+02,3.537543e+07,5.376820e+01,1.004975e+02,1.068367e+03,1.800991e+01,2.864398e+02
25,0,0,2.768397e+02,1.386678e+07,1.916828e+01,1.506258e+02,1.334626e+03,6.249115e+00,3.054701e+02
26,0,0,5.906437e+02,4.060951e+07,5.724562e+01,1.472940e+01,1.517411e+02,1.877306e+01,3.007256e+02
27,0,0,1.844556e+02,1.544001e+07,1.867284e+01,1.273736e+01,1.091411e+02,6.254690e+00,2.893584e+02
28,0,0,3.893300e+02,2.326907e+07,2.628696e+01,4.446162e+01,3.814115e+02,8.805085e+00,2.785839e+02
29,0,0,4.422978e+02,3.497756e+07,4.047968e+01,3.235615e+00,2.579821e+01,1.355853e+01,2.893292e+02
30,0,0,5.525346e+02,4.279820e+07,4.099044e+01,7.493430e+00,5.985661e+01,1.344441e+01,3.033438e+02
