F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F687,F760,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
4.252939e-01,689,2.054855e+00,744,4.160294e-01,1.415675e+00,1.199904e-01,4.525813e-01,1.280204e+00
6.243653e-01,689,1.796445e+00,743,6.107343e-01,1.176516e+00,1.186113e-01,4.104036e-01,1.589284e+00
8.588958e-01,691,2.029441e+00,742,8.173507e-01,1.304822e+00,1.413489e-01,3.830005e-01,1.196219e+00
1.801448e-01,690,2.474105e-01,741,1.739945e-01,1.531059e-01,1.967003e-02,6.108468e-02,1.450787e-01
NaN,NaN,1.137254e-01,742,3.394928e-02,7.127109e-02,7.312232e-03,2.283544e-02,5.624567e-02
9.472814e-03,691,2.062620e-02,741,9.048835e-03,1.257433e-02,1.450041e-03,6.461362e-03,1.270048e-02
2.297002e-01,689,9.620877e-01,745,2.240123e-01,6.917902e-01,5.959768e-02,2.424264e-01,8.890509e-01
3.544940e-01,689,1.214339e+00,743,3.468114e-01,8.111721e-01,7.730292e-02,2.557574e-01,8.015149e-01
3.992133e-01,690,1.189674e+00,742,3.874452e-01,7.676665e-01,7.787875e-02,2.439380e-01,7.835995e-01
4.483441e-01,689,1.533297e+00,743,4.417001e-01,1.025293e+00,9.616983e-02,2.585365e-01,8.775568e-01
NaN,NaN,4.277553e-02,741,1.611199e-02,2.557325e-02,2.922409e-03,8.938502e-03,1.409019e-02
NaN,NaN,2.628917e+00,743,5.334258e-01,1.732434e+00,1.570591e-01,5.244587e-01,1.389392e+00
NaN,NaN,7.231389e-01,741,2.610144e-01,4.533437e-01,4.932340e-02,1.844286e-01,6.239134e-01
8.816417e-01,689,3.631453e+00,745,8.696617e-01,2.564058e+00,2.208370e-01,6.382192e-01,2.031202e+00
4.055024e-01,691,9.382996e-01,742,3.859535e-01,5.973741e-01,6.554585e-02,1.958742e-01,7.223438e-01
2.088518e-02,687,1.592190e-02,740,2.088518e-02,9.568098e-03,1.518929e-03,5.215706e-03,5.981077e-03
NaN,NaN,1.066662e+00,741,4.590685e-01,6.560567e-01,7.542069e-02,2.331055e-01,4.895156e-01
2.131937e-01,690,1.299650e+00,745,2.067622e-01,9.230375e-01,7.475419e-02,2.532689e-01,6.739515e-01
8.249793e-01,689,2.823058e+00,743,8.133751e-01,1.904545e+00,1.779058e-01,5.336947e-01,1.702336e+00
1.556721e-01,689,4.548446e-01,743,1.531946e-01,2.976623e-01,2.974288e-02,9.161806e-02,2.759073e-01
NaN,NaN,7.061675e-01,741,2.969933e-01,4.343662e-01,4.961009e-02,2.172062e-01,5.314401e-01
2.978392e-01,689,1.062544e+00,743,2.896901e-01,6.930340e-01,6.581084e-02,2.991530e-01,7.402690e-01
3.335280e-01,691,5.499239e-01,741,3.112963e-01,3.400530e-01,4.159220e-02,1.670375e-01,3.727006e-01
2.436489e-01,691,8.472026e-01,743,2.342363e-01,5.650961e-01,5.477960e-02,1.843976e-01,7.743449e-01
NaN,NaN,2.734806e-01,742,7.135932e-02,1.720536e-01,1.753702e-02,7.437459e-02,2.307663e-01
3.043921e-01,689,1.183041e+00,743,2.977705e-01,7.965268e-01,7.332865e-02,2.485437e-01,7.090694e-01
1.428228e-01,690,4.901725e-01,742,1.386653e-01,3.120126e-01,3.079344e-02,1.294641e-01,3.119357e-01
1.667126e-01,690,4.687869e-01,742,1.607556e-01,3.038595e-01,3.137471e-02,9.381019e-02,3.721621e-01
4.248954e-01,690,1.326087e+00,742,4.133079e-01,8.259890e-01,8.491197e-02,2.993643e-01,6.105684e-01
3.392718e-01,689,1.101243e+00,743,3.337598e-01,7.295894e-01,6.976204e-02,2.512211e-01,5.498925e-01
