simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot,rss
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2,s m-1
1,54,2020,1,2.805223e+02,2.013781e+02,8.021154e+01,2.182528e+01,2.219432e+01,1.404512e+02,2.406568e+01,6.131472e+00,1.102814e+02,2.228529e+01,4.209735e+02,2.254438e+02,8.634302e+01,500
2,10,2020,2,6.109846e+02,1.298275e+02,4.821028e+02,2.535205e+01,8.338051e+00,5.969096e+00,1.392921e+01,2.266388e+01,-3.045138e+01,1.645227e+01,6.169537e+02,1.437567e+02,5.047667e+02,500
3,9,2020,3,4.154440e+02,-9.691004e+01,5.127304e+02,2.010911e+01,1.933086e+01,4.765530e+01,-1.510117e+01,2.791366e+01,3.493072e+01,2.337360e+01,4.630993e+02,-1.120112e+02,5.406441e+02,500
4,7,2020,4,1.618357e+02,-5.705891e+01,2.186114e+02,2.059688e+00,1.023279e+01,1.335927e+01,-1.845047e+01,6.330816e+01,-3.161268e+01,1.855869e+01,1.751949e+02,-7.550938e+01,2.819196e+02,500
5,9,2020,5,-2.356974e+01,2.097874e+00,-2.396097e+01,-5.327226e-01,1.617205e+01,4.166402e+00,5.083392e+00,-3.446102e+00,3.135420e+00,2.058999e+01,-1.940334e+01,7.181266e+00,-2.740707e+01,500
6,16,2020,6,-9.676298e+00,-6.455301e+00,-3.311209e+00,2.123313e-01,2.018886e+01,-6.289683e+01,-3.196991e+01,-4.936304e+00,-2.607050e+01,2.441158e+01,-7.257313e+01,-3.842521e+01,-8.247513e+00,500
7,24,2020,7,2.028288e+02,1.723735e+02,3.046453e+01,4.721139e+00,1.975734e+01,3.194084e+01,1.422396e+01,8.109514e-01,1.690556e+01,2.089062e+01,2.347696e+02,1.865974e+02,3.127548e+01,500
8,7,2020,8,1.747148e+02,-5.983895e+01,2.340699e+02,1.534180e+00,2.055587e+01,7.304261e+01,-7.863009e+00,5.302119e+01,2.770961e+01,2.735925e+01,2.477574e+02,-6.770195e+01,2.870911e+02,500
9,7,2020,9,2.652181e+02,-2.519663e+00,2.669309e+02,1.374631e+01,1.699255e+01,2.606544e+01,7.835591e+00,2.642401e+01,-8.381463e+00,2.149146e+01,2.912835e+02,5.315928e+00,2.933549e+02,500
