simulation_number,year,DoY,ShortIn,LongIn,HemisOutShort,HemisOutLong,Lo,Lot,Lote
#,,,W m-2,W m-2,W m-2,W m-2,W m-2 sr-1,W m-2 sr-1,W m-2 sr-1
1,2020,1,600,300,1.053629e+02,4.292496e+02,2.993579e+01,3.822482e-01,1.349483e+02
2,2020,2,7.223293e+02,300,9.607447e+01,3.737614e+02,2.776382e+01,4.650166e-01,1.208892e+02
3,2020,3,6.983758e+02,300,1.661429e+02,4.341301e+02,6.210983e+01,4.759514e-01,1.420793e+02
4,2020,4,2.459894e+02,300,4.143691e+01,3.703925e+02,1.361535e+01,5.100113e-01,1.198934e+02
5,2020,5,4.276380e+01,300,7.812369e+00,3.906768e+02,2.518754e+00,5.723282e-01,1.293509e+02
6,2020,6,5.941020e+01,300,1.189057e+01,4.340214e+02,3.790617e+00,4.705851e+00,1.356876e+02
7,2020,7,2.954093e+02,300,4.973930e+01,4.083289e+02,1.247364e+01,3.460344e-01,1.314019e+02
8,2020,8,3.833663e+02,300,5.824265e+01,4.221872e+02,1.950750e+01,4.488992e-01,1.372276e+02
9,2020,9,4.121797e+02,300,6.571461e+01,4.079306e+02,2.135121e+01,4.607014e-01,1.311355e+02
10,2020,10,3.442451e+02,300,6.001189e+01,3.787057e+02,2.281776e+01,4.317354e-01,1.213365e+02
11,2020,11,1.276580e+01,300,2.820659e+00,3.267444e+02,9.819565e-01,3.952577e-01,1.059347e+02
12,2020,12,6.704510e+02,300,9.978823e+01,4.210564e+02,3.117345e+01,4.070933e-01,1.353145e+02
13,2020,13,4.535831e+02,300,6.038101e+01,5.222148e+02,1.643601e+01,3.580852e-01,1.678488e+02
14,2020,14,7.750835e+02,300,1.214554e+02,4.819049e+02,4.388397e+01,4.140602e-01,1.547112e+02
15,2020,15,4.919401e+02,300,6.971939e+01,5.119419e+02,2.423536e+01,4.245793e-01,1.661681e+02
16,2020,16,1.026460e+02,300,2.677130e+01,4.358226e+02,7.785653e+00,3.759295e-01,1.443736e+02
17,2020,17,5.466283e+02,300,1.000967e+02,4.765714e+02,3.433849e+01,6.161864e-01,1.598448e+02
18,2020,18,2.147188e+02,300,4.860491e+01,3.655481e+02,1.395193e+01,4.838790e-01,1.198064e+02
19,2020,19,7.669673e+02,300,1.671653e+02,4.264386e+02,5.579381e+01,4.983505e-01,1.390892e+02
20,2020,20,1.547865e+02,300,2.495002e+01,4.552679e+02,8.421223e+00,6.996669e-01,1.461224e+02
21,2020,21,5.120884e+02,300,8.859001e+01,4.850871e+02,2.433589e+01,7.983259e-01,1.510242e+02
22,2020,22,4.793667e+02,300,6.214389e+01,5.519805e+02,1.939711e+01,1.143534e+00,1.716415e+02
23,2020,23,5.949350e+02,300,8.754756e+01,4.901325e+02,2.708609e+01,1.557327e+00,1.664098e+02
24,2020,24,3.685230e+02,300,5.359239e+01,4.183626e+02,1.629272e+01,4.419927e-01,1.357934e+02
25,2020,25,1.343134e+02,300,2.283457e+01,4.593890e+02,5.292946e+00,3.644561e-01,1.480451e+02
26,2020,26,3.008927e+02,300,4.926408e+01,4.783484e+02,1.509772e+01,4.066001e-01,1.544648e+02
27,2020,27,1.702477e+02,300,2.777692e+01,4.144638e+02,8.468229e+00,1.980919e+00,1.300509e+02
28,2020,28,2.232091e+02,300,2.566037e+01,3.488699e+02,8.695837e+00,5.233450e-01,1.162612e+02
29,2020,29,5.854878e+02,300,1.154978e+02,4.488814e+02,3.653702e+01,2.899932e+00,1.453901e+02
30,2020,30,6.221651e+02,300,1.256748e+02,4.661087e+02,4.125482e+01,2.407579e+00,1.543670e+02
