simulation_number,year,DoY,aPAR,aPARbyCab,aPARbyCab(energyunits),Photosynthesis,Electron_transport,NPQ_energy,LST
#,,,umol m-2 s-1,umol m-2 s-1,W m-2,umol m-2 s-1,umol m-2 s-1,W m-2,K
1,2020,1,1.131328e+03,8.688096e+02,1.048602e+02,2.182528e+01,1.873723e+02,2.624781e+01,2.942664e+02
2,2020,2,1.523920e+03,9.950596e+02,1.297077e+02,2.535205e+01,2.380304e+02,2.949861e+01,2.863554e+02
3,2020,3,1.405411e+03,6.674872e+02,8.230239e+01,2.010911e+01,2.294266e+02,3.156278e+00,2.981175e+02
4,2020,4,4.538232e+02,1.152992e+02,1.233007e+01,2.059688e+00,4.528447e+01,9.120600e-03,2.857929e+02
5,2020,5,7.618483e+01,4.346045e+01,5.193907e+00,-5.327226e-01,1.736692e+01,3.818155e-04,2.912819e+02
6,2020,6,1.912115e+01,1.050209e+01,1.154127e+00,2.123313e-01,4.166561e+00,1.587633e-04,2.969808e+02
7,2020,7,6.347393e+02,4.701813e+02,6.195467e+01,4.721139e+00,1.684824e+02,1.517595e+00,2.922992e+02
8,2020,8,6.528195e+02,5.039228e+02,5.655907e+01,1.534180e+00,1.136737e+01,1.880972e+01,2.955334e+02
9,2020,9,8.178054e+02,5.021010e+02,6.315781e+01,1.374631e+01,1.308051e+02,1.225518e+01,2.922150e+02
10,2020,10,7.156517e+02,5.171234e+02,6.685551e+01,6.971002e+00,5.534744e+01,2.131788e+01,2.865994e+02
11,2020,11,2.435589e+01,1.431817e+01,1.399833e+00,-1.283871e+01,5.809023e+00,8.154586e-08,2.770484e+02
12,2020,12,1.281036e+03,9.020078e+02,1.049953e+02,2.904560e+01,2.755294e+02,1.328346e+01,2.944787e+02
13,2020,13,9.385353e+02,4.242710e+02,5.045898e+01,7.378524e+00,6.018915e+01,1.438902e+01,3.107081e+02
14,2020,14,1.620152e+03,1.266578e+03,1.643626e+02,3.006532e+01,3.377390e+02,2.743216e+01,3.044825e+02
15,2020,15,9.829869e+02,4.900066e+02,5.880741e+01,6.714596e+00,7.139805e+01,1.662508e+01,3.099600e+02
16,2020,16,1.855148e+02,8.777028e+00,5.956499e-01,-1.397536e+01,3.509202e+00,1.044804e-08,2.992581e+02
17,2020,17,8.964810e+02,3.693659e+02,3.992779e+01,1.130788e+01,9.211571e+01,7.851262e+00,3.070677e+02
18,2020,18,4.356010e+02,3.756658e+02,4.725078e+01,1.193231e+01,1.225393e+02,3.383716e+00,2.857257e+02
19,2020,19,1.594227e+03,1.090376e+03,1.419807e+02,2.298953e+01,2.105053e+02,3.918874e+01,2.965537e+02
20,2020,20,2.589135e+02,1.827248e+02,2.240018e+01,4.653849e+00,6.983421e+01,4.023069e-02,3.003236e+02
21,2020,21,8.233346e+02,3.821768e+02,4.401771e+01,1.097779e+01,8.654556e+01,9.796556e+00,3.028487e+02
22,2020,22,6.861063e+02,5.231976e+02,6.005050e+01,6.038841e+00,1.337812e+02,8.534771e+00,3.128011e+02
23,2020,23,7.087472e+02,2.445618e+02,2.636766e+01,9.357346e+00,8.068355e+01,1.243743e+00,3.105974e+02
24,2020,24,7.654416e+02,4.345066e+02,5.403206e+01,1.622967e+00,1.514184e+02,1.951402e+00,2.947570e+02
25,2020,25,2.814825e+02,1.618954e+02,1.974715e+01,-4.115708e+00,6.223043e+01,1.991412e-02,3.011322e+02
26,2020,26,6.007779e+02,4.619129e+02,5.882568e+01,6.782100e+00,8.017801e+01,1.626104e+01,3.043579e+02
27,2020,27,2.033803e+02,1.735160e+02,2.181579e+01,6.246022e+00,5.558526e+01,1.535920e+00,2.924566e+02
28,2020,28,3.937496e+02,2.371035e+02,2.666799e+01,7.847826e+00,8.669495e+01,4.741474e-01,2.836208e+02
29,2020,29,4.810898e+02,3.819584e+02,4.612304e+01,3.053625e+00,2.461817e+01,1.481974e+01,3.010716e+02
30,2020,30,5.831712e+02,4.190800e+02,4.456397e+01,6.854602e+00,5.429199e+01,1.315604e+01,3.052886e+02
